timestamp_utc,open,high,low,close,volume,pair,timeframe,source,ingested_at_utc
2025-04-18 01:00:00+00:00,142.297,142.429,142.293,142.349,2476,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 02:00:00+00:00,142.358,142.415,142.259,142.331,4657,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 03:00:00+00:00,142.334,142.403,142.176,142.387,3408,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 04:00:00+00:00,142.387,142.434,142.336,142.35,8780,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 05:00:00+00:00,142.348,142.357,142.279,142.295,7849,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 06:00:00+00:00,142.293,142.341,142.276,142.317,8925,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 07:00:00+00:00,142.319,142.344,142.274,142.326,7368,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 08:00:00+00:00,142.329,142.407,142.297,142.345,5017,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 09:00:00+00:00,142.341,142.38,142.307,142.364,3070,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 10:00:00+00:00,142.34,142.384,142.295,142.381,2894,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 11:00:00+00:00,142.382,142.39,142.33,142.373,3252,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 12:00:00+00:00,142.363,142.389,142.335,142.372,2992,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 13:00:00+00:00,142.373,142.378,142.331,142.36,1946,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 14:00:00+00:00,142.361,142.368,142.267,142.319,2964,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 15:00:00+00:00,142.311,142.361,142.279,142.319,4726,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 16:00:00+00:00,142.319,142.345,142.296,142.342,1291,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 17:00:00+00:00,142.342,142.349,142.252,142.281,2183,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 18:00:00+00:00,142.278,142.298,142.223,142.238,2234,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 19:00:00+00:00,142.236,142.244,142.107,142.202,2685,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 20:00:00+00:00,142.202,142.287,142.161,142.18,2636,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 21:00:00+00:00,142.179,142.184,142.138,142.181,3379,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 22:00:00+00:00,142.18,142.186,142.116,142.173,4556,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-18 23:00:00+00:00,142.165,142.189,142.074,142.074,1893,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-21 00:00:00+00:00,142.111,142.111,141.609,141.868,714,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-21 01:00:00+00:00,141.96,142.11,141.677,141.73,3034,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-21 02:00:00+00:00,141.73,141.757,141.489,141.585,4955,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
2025-04-21 03:00:00+00:00,141.584,141.584,141.131,141.18,6571,USDJPY,H1,MT5,2026-02-08 11:27:13.243351+00:00
